Step,BLOB_EnsembleMolecular_BLOB_Gsol_20250512_041334 - best_value,Molecular_Laplace_BO_Gsol_20250511_180607 - best_value,Molecular_VBLL_Gsol_dense_precision_multirank_20250510_145035 - best_value,ibnn-Gsol - best_value,dkl-Gsol - best_value,gp-Gsol - best_value,Molecular_VBLL_Gsol_dense_precision_multirank_20250510_040825 - best_value,ibnn-Gsol - best_value,dkl-Gsol - best_value,gp-Gsol - best_value,Molecular_Laplace_BO_Gsol_20250509_163244 - best_value,ibnn-Gsol - best_value,dkl-Gsol - best_value,gp-Gsol - best_value,Molecular_Laplace_BO_Gsol_20250509_153306 - best_value,Molecular_BLOB_Gsol_dense_precision_multirank_20250508_183330 - best_value
25,,-0.91607907,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.92971128,-1.11596373
26,-0.92971128,-0.91607907,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.92971128,-1.11596373
27,,-0.91607907,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.97406358,-1.11596373
28,-0.95732943,-0.91607907,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.97406358,-1.11596373
29,,-0.91607907,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.97406358,-1.11596373
30,-0.95732943,-0.91607907,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.97406358,-1.11596373
31,,-0.91607907,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.97406358,-1.11596373
32,-0.98181843,-0.91714026,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.97406358,-1.11596373
33,,-0.91714026,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.97406358,-1.11596373
34,-1.07335287,-0.91714026,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.97406358,-1.11596373
35,,-0.91714026,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.97406358,-1.11596373
36,-1.07335287,-0.91714026,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.97406358,-1.11596373
37,,-0.91714026,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.97406358,-1.11596373
38,-1.07335287,-1.01664723,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.97406358,-1.11596373
39,,-1.01664723,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.97406358,-1.11596373
