Step,Molecular_Laplace_BO_Ered_20250507_212946 - best_value,ibnn-Ered - best_value,dkl-Ered - best_value,gp-Ered - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250507_014507 - best_value,BLOB_EnsembleMolecular_BLOB_Ered_20250508_015139 - best_y,ibnn-Ered - best_value,dkl-Ered - best_value,gp-Ered - best_value,BLOB_EnsembleMolecular_BLOB_Ered_20250508_122413 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250507_210912 - best_value,ibnn-Ered - best_value,dkl-Ered - best_value,gp-Ered - best_value,Ered_mlp_20250509_121337 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250508_155447 - best_value,Ered_mlp_20250509_120819 - best_value,Ered_mlp_20250509_121337 - best_value,BLOB_EnsembleMolecular_BLOB_Ered_20250509_121918 - best_value,Molecular_DeepEnsemble_Ered_vbll_20250513_121341 - best_value,Molecular_VBLL_Ered_dense_precision_multirank_20250513_082526 - best_value,Molecular_DeepEnsemble_Ered_std_20250512_172658 - best_value,Molecular_DeepEnsemble_Ered_std_20250512_132555 - best_value,Molecular_DeepEnsemble_Ered_vbll_20250511_182942 - best_value
82,1.6706537,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
83,1.6706537,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
84,1.6706537,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
85,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
86,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
87,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
88,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
89,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
90,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
91,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
92,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
93,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
94,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
95,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
96,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
97,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
98,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
99,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
100,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
101,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
102,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
103,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
104,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
105,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
106,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
107,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
108,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
109,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
110,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
111,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
112,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
113,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
114,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
115,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
116,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
117,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
118,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
119,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
120,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
121,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
122,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
123,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
124,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
125,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,1.54135178,1.54135178
126,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
127,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
128,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
129,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
130,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
131,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
132,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
133,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
134,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
135,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
136,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
137,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
138,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
139,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
140,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
141,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
142,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
143,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
144,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
145,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
146,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
147,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
148,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
149,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
150,1.62464159,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
,,,,,,,,,,,,,,,,,,,,,1.54135178,,,1.54135178
