Step,Molecular_Laplace_BO_Ered_20250507_212946 - best_value,ibnn-Ered - best_value,dkl-Ered - best_value,gp-Ered - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250507_014507 - best_value,BLOB_EnsembleMolecular_BLOB_Ered_20250508_015139 - best_y,ibnn-Ered - best_value,dkl-Ered - best_value,gp-Ered - best_value,BLOB_EnsembleMolecular_BLOB_Ered_20250508_122413 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250507_210912 - best_value,ibnn-Ered - best_value,dkl-Ered - best_value,gp-Ered - best_value,Ered_mlp_20250509_121337 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250508_155447 - best_value,Ered_mlp_20250509_120819 - best_value,Ered_mlp_20250509_121337 - best_value,BLOB_EnsembleMolecular_BLOB_Ered_20250509_121918 - best_value,Molecular_DeepEnsemble_Ered_vbll_20250513_121341 - best_value,Molecular_VBLL_Ered_dense_precision_multirank_20250513_082526 - best_value,Molecular_DeepEnsemble_Ered_std_20250512_172658 - best_value,Molecular_DeepEnsemble_Ered_std_20250512_132555 - best_value,Molecular_DeepEnsemble_Ered_vbll_20250511_182942 - best_value
18,1.6706537,1.68412265,1.74564446,1.62464159,1.64039618,1.67353796,1.68412265,1.74564446,1.62464159,1.61558066,1.62464159,1.68412265,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.72591721,1.6706537,1.54135178,1.61558066,1.54135178,1.64039618
19,1.6706537,1.68412265,1.74564446,1.62464159,1.64039618,1.67353796,1.68412265,1.74564446,1.62464159,,1.62464159,1.68412265,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.69620389,1.6706537,1.54135178,1.61558066,1.54135178,1.64039618
20,1.6706537,1.68412265,1.74564446,1.62464159,1.64039618,1.67353796,1.68412265,1.74564446,1.62464159,1.61558066,1.62464159,1.68412265,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.69620389,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
21,1.6706537,1.68412265,1.74564446,1.62464159,1.64039618,1.64967479,1.68412265,1.74564446,1.62464159,,1.62464159,1.68412265,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.69620389,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
22,1.6706537,1.68412265,1.74564446,1.62464159,1.64039618,1.64967479,1.68412265,1.74564446,1.62464159,1.61558066,1.62464159,1.68412265,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.69620389,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
23,1.6706537,1.68412265,1.74564446,1.62464159,1.63933499,1.64967479,1.68412265,1.74564446,1.62464159,,1.62464159,1.68412265,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.69620389,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
24,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.62464159,1.67353796,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.69620389,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
25,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,,1.62464159,1.67353796,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
26,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.62464159,1.67353796,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
27,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
28,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
29,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.62464159,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
30,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.62464159,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
31,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
32,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
33,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
34,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
35,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.54135178,1.54135178,1.64039618
36,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.54135178,1.54135178,1.64039618
37,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.54135178,1.54135178,1.64039618
38,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.54135178,1.54135178,1.64039618
39,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.54135178,1.54135178,1.64039618
40,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.54135178,1.54135178,1.64039618
41,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.54135178,1.54135178,1.64039618
42,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.54135178,1.54135178,1.64039618
43,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.54135178,1.54135178,1.64039618
44,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.54135178,1.54135178,1.64039618
45,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.54135178,1.54135178,1.64039618
46,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.64039618
47,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.64039618
48,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.64039618
49,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.64039618
50,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.64039618
51,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.64039618
52,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
53,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
54,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
55,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
56,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
57,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
58,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
59,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
60,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
61,1.6706537,1.67353796,1.74564446,1.62464159,1.61558066,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
62,1.6706537,1.67353796,1.74564446,1.62464159,1.54135178,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
63,1.6706537,1.67353796,1.74564446,1.62464159,1.54135178,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
64,1.6706537,1.67353796,1.74564446,1.62464159,1.54135178,1.64967479,1.67353796,1.74564446,1.62464159,1.54135178,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
65,1.6706537,1.67353796,1.74564446,1.62464159,1.54135178,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
66,1.6706537,1.67353796,1.74564446,1.62464159,1.54135178,1.64967479,1.67353796,1.74564446,1.62464159,1.54135178,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
67,1.6706537,1.67353796,1.74564446,1.62464159,1.54135178,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.61558066
68,1.6706537,1.67353796,1.71399923,1.62464159,1.54135178,1.64967479,1.67353796,1.71399923,1.62464159,1.54135178,1.54135178,1.67353796,1.71399923,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,1.54135178,1.54135178,1.54135178
69,1.6706537,1.67353796,1.71399923,1.62464159,1.54135178,1.64967479,1.67353796,1.71399923,1.62464159,,1.54135178,1.67353796,1.71399923,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
70,1.6706537,1.67353796,1.71399923,1.62464159,1.54135178,1.64967479,1.67353796,1.71399923,1.62464159,1.54135178,1.54135178,1.67353796,1.71399923,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
71,1.6706537,1.67353796,1.71399923,1.62464159,1.54135178,1.64967479,1.67353796,1.71399923,1.62464159,,1.54135178,1.67353796,1.71399923,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
72,1.6706537,1.67353796,1.71399923,1.62464159,1.54135178,1.64967479,1.67353796,1.71399923,1.62464159,1.54135178,1.54135178,1.67353796,1.71399923,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
73,1.6706537,1.67353796,1.71399923,1.62464159,1.54135178,1.64967479,1.67353796,1.71399923,1.62464159,,1.54135178,1.67353796,1.71399923,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
74,1.6706537,1.67353796,1.71399923,1.62464159,1.54135178,1.64967479,1.67353796,1.71399923,1.62464159,1.54135178,1.54135178,1.67353796,1.71399923,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
75,1.6706537,1.67353796,1.71399923,1.62464159,1.54135178,1.64967479,1.67353796,1.71399923,1.62464159,,1.54135178,1.67353796,1.71399923,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
76,1.6706537,1.67353796,1.71399923,1.62464159,1.54135178,1.64967479,1.67353796,1.71399923,1.62464159,1.54135178,1.54135178,1.67353796,1.71399923,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
77,1.6706537,1.67353796,1.71399923,1.62464159,1.54135178,1.64967479,1.67353796,1.71399923,1.62464159,,1.54135178,1.67353796,1.71399923,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
78,1.6706537,1.67353796,1.71399923,1.62464159,1.54135178,1.64967479,1.67353796,1.71399923,1.62464159,1.54135178,1.54135178,1.67353796,1.71399923,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
79,1.6706537,1.67353796,1.71399923,1.62464159,1.54135178,1.64967479,1.67353796,1.71399923,1.62464159,,1.54135178,1.67353796,1.71399923,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
80,1.6706537,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,1.54135178,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
81,1.6706537,1.67353796,1.71399923,1.54135178,1.54135178,1.64967479,1.67353796,1.71399923,1.54135178,,1.54135178,1.67353796,1.71399923,1.54135178,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.54135178,1.54135178,,1.54135178,1.54135178
