Step,BLOB_EnsembleMolecular_BLOB_score_20250511_224436 - best_value,Molecular_Laplace_BO_score_20250510_150719 - best_value,Molecular_VBLL_score_dense_precision_multirank_20250510_145147 - best_value,ibnn-score - best_value,dkl-score - best_value,gp-score - best_value,Molecular_Laplace_BO_score_20250510_150719 - best_value,Molecular_VBLL_score_dense_precision_multirank_20250510_035401 - best_value,BLOB_EnsembleMolecular_BLOB_score_20250509_220013 - best_value,Molecular_Laplace_BO_score_20250509_153118 - best_value,Molecular_BLOB_score_dense_precision_multirank_20250508_190040 - best_value,BLOB_EnsembleMolecular_BLOB_score_20250511_224436 - best_value,ibnn-score - best_value,dkl-score - best_value,gp-score - best_value,Molecular_DeepEnsemble_score_std_20250512_233817 - best_value,Molecular_DeepEnsemble_score_std_20250512_171001 - best_value
33,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
34,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
35,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
36,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
37,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
38,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
39,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
40,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
41,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
42,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
43,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
44,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
45,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
46,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
47,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.7,-7.7,-9.5,-9.5,-9.5,-9.8,-9.8
48,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.7,-8.4,-9.5,-9.5,-9.5,-9.8,-9.8
49,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.7,-8.4,-9.5,-9.5,-9.5,-9.8,-9.8
50,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.7,-8.4,-9.5,-9.5,-9.5,-9.8,-9.8
51,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.7,-8.4,-9.5,-9.5,-9.5,-9.8,-9.8
52,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.8,-8.4,-9.5,-9.5,-9.5,-9.8,-9.8
53,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.8,-8.4,-9.5,-9.5,-9.5,-9.8,-9.8
54,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.8,-8.4,-9.5,-9.5,-9.5,-9.8,-9.8
55,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.8,-8.4,-9.5,-9.5,-9.5,-9.8,-9.8
56,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.8,-8.4,-9.5,-9.5,-9.5,-9.8,-9.8
57,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.8,-8.4,-9.5,-9.5,-9.5,-9.8,-9.8
58,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.8,-8.4,-9.5,-9.5,-9.5,-9.8,-9.8
59,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.8,-8.4,-9.5,-9.5,-9.5,,
60,-7.8,-9.8,-9.6,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.8,-8.4,-9.5,-9.5,-9.5,,
61,-7.8,-9.8,-9.8,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.8,-8.4,-9.5,-9.5,-9.5,,
62,-7.8,-9.8,-9.8,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.5,-9.5,-9.5,,
63,-7.8,-9.8,-9.8,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.8,-9.8,-9.5,-9.5,-9.5,,
64,-7.8,-9.8,-9.8,-9.5,-9.5,-9.5,-9.8,-9.8,-9.8,-9.8,-9.8,-9.8,-9.5,-9.5,-9.5,,
65,-7.8,-9.8,-9.8,-9.5,-9.5,-9.5,-9.8,-9.8,,-9.8,-9.8,-9.8,-9.5,-9.5,-9.5,,
